timeindex	ar1	sd	sk	kurt	cv	returnrate	densratio	acf1
2032	0.989144446481872	0.00226906596540152	0.112026088009334	3.65404030042866	3.08481002374898	1.01097468985115	15658.6431544311	0.986176147927242
2033	0.989292538610261	0.00227259290296552	0.106767436544609	3.65196325205722	3.09989057719779	1.01082335201353	15627.476539773	0.986158112416962
2034	0.989191144626628	0.00227584388893012	0.102686412179702	3.64815783098473	3.11489140800087	1.01092696333978	15956.1807532902	0.986345956997655
2035	0.989415231904113	0.00227959794970194	0.0973805774572983	3.64642644036409	3.13199862257883	1.01069800398718	15620.105872483	0.986153840149786
2036	0.989657405222633	0.00228378832235129	0.0902063204320618	3.64805769796537	3.14943652467922	1.01045068194588	15296.4222870831	0.985963528284193
2037	0.989529024524172	0.00228751509333616	0.0843989644711328	3.64706838827588	3.16538709379265	1.01058177700332	15737.2895416923	0.986221447346364
2038	0.989455991469627	0.00229106851941476	0.0794759605558195	3.64457516416352	3.18150381203053	1.01065636938002	15964.0041107893	0.986350365022811
2039	0.989543731509003	0.00229471016973536	0.0741874430949989	3.6427172520658	3.19773637603553	1.01056675734285	15957.6059446901	0.986346760227171
2040	0.989781590678083	0.00229879983201224	0.0676617317346636	3.64320972457632	3.21560801359183	1.01032390319052	15723.1366913889	0.986213317728607
2041	0.989588679227729	0.00230243862399374	0.0627690166750211	3.64078536511171	3.23268905428865	1.01052085678708	16125.9838290048	0.986440992453337
2042	0.989864231882857	0.00230655075462666	0.0561663448158376	3.64150335556082	3.25071493452921	1.0102395538607	15827.7773507382	0.986273196063776
2043	0.990022889287676	0.00231096749282174	0.0489473429865563	3.64365564608409	3.27037863694493	1.01007765660802	15722.2249480664	0.986212793675166
2044	0.990332611977651	0.00231602412898362	0.0397915936043978	3.65058269689228	3.29242586201007	1.00976175873179	15349.6080615635	0.985995166427447
